Algoritmo,Vetor 1,Vetor 2,Vetor 3,Total
Bubble Sort,78,0,190,268
Selection Sort,18,0,10,28
Cocktail Sort,78,0,190,268
Comb Sort,22,0,18,40
Gnome Sort,78,0,190,268
Bucket Sort,78,73,75,226
